date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:36:36	12795/12795	---M-Z	200	added ('OK')	text/css	etag:%2231fb-5914b763f7c00-gzip%22	https://bootstrap-ecommerce.com/bootstrap-ecommerce-html/plugins/fancybox/fancybox.min.css	C:/Users/Febri/Documents/bootstrap-pro/bootstrap-ecommerce.com/bootstrap-ecommerce-html/plugins/fancybox/fancybox.min.css	(from https://bootstrap-ecommerce.com/bootstrap-ecommerce-html/page-listing-grid.html)
15:36:39	99556/99556	---M--	200	added ('OK')	font/woff2	etag:%225f7e4253-184e4%22	https://rsms.me/inter/font-files/Inter-Thin.woff2?v=3.15	C:/Users/Febri/Documents/bootstrap-pro/rsms.me/inter/font-files/Inter-Thin57a3.woff2	(from https://rsms.me/inter/inter.css)
15:36:40	106320/106320	---M--	200	added ('OK')	font/woff2	etag:%225f7e4253-19f50%22	https://rsms.me/inter/font-files/Inter-ThinItalic.woff2?v=3.15	C:/Users/Febri/Documents/bootstrap-pro/rsms.me/inter/font-files/Inter-ThinItalic57a3.woff2	(from https://rsms.me/inter/inter.css)
15:36:40	135872/135872	---M--	200	added ('OK')	font/woff	etag:%225f7e4253-212c0%22	https://rsms.me/inter/font-files/Inter-Thin.woff?v=3.15	C:/Users/Febri/Documents/bootstrap-pro/rsms.me/inter/font-files/Inter-Thin57a3.woff	(from https://rsms.me/inter/inter.css)
15:36:42	104128/104128	---M--	200	added ('OK')	font/woff2	etag:%225f7e4253-196c0%22	https://rsms.me/inter/font-files/Inter-ExtraLight.woff2?v=3.15	C:/Users/Febri/Documents/bootstrap-pro/rsms.me/inter/font-files/Inter-ExtraLight57a3.woff2	(from https://rsms.me/inter/inter.css)
15:36:43	144128/144128	---M--	200	added ('OK')	font/woff	etag:%225f7e4253-23300%22	https://rsms.me/inter/font-files/Inter-ThinItalic.woff?v=3.15	C:/Users/Febri/Documents/bootstrap-pro/rsms.me/inter/font-files/Inter-ThinItalic57a3.woff	(from https://rsms.me/inter/inter.css)
15:36:43	140736/140736	---M--	200	added ('OK')	font/woff	etag:%225f7e4253-225c0%22	https://rsms.me/inter/font-files/Inter-ExtraLight.woff?v=3.15	C:/Users/Febri/Documents/bootstrap-pro/rsms.me/inter/font-files/Inter-ExtraLight57a3.woff	(from https://rsms.me/inter/inter.css)
15:36:44	110820/110820	---M--	200	added ('OK')	font/woff2	etag:%225f7e4253-1b0e4%22	https://rsms.me/inter/font-files/Inter-ExtraLightItalic.woff2?v=3.15	C:/Users/Febri/Documents/bootstrap-pro/rsms.me/inter/font-files/Inter-ExtraLightItalic57a3.woff2	(from https://rsms.me/inter/inter.css)
15:36:45	103944/103944	---M--	200	added ('OK')	font/woff2	etag:%225f7e4253-19608%22	https://rsms.me/inter/font-files/Inter-Light.woff2?v=3.15	C:/Users/Febri/Documents/bootstrap-pro/rsms.me/inter/font-files/Inter-Light57a3.woff2	(from https://rsms.me/inter/inter.css)
15:36:46	148664/148664	---M--	200	added ('OK')	font/woff	etag:%225f7e4253-244b8%22	https://rsms.me/inter/font-files/Inter-ExtraLightItalic.woff?v=3.15	C:/Users/Febri/Documents/bootstrap-pro/rsms.me/inter/font-files/Inter-ExtraLightItalic57a3.woff	(from https://rsms.me/inter/inter.css)
15:36:47	140612/140612	---M--	200	added ('OK')	font/woff	etag:%225f7e4253-22544%22	https://rsms.me/inter/font-files/Inter-Light.woff?v=3.15	C:/Users/Febri/Documents/bootstrap-pro/rsms.me/inter/font-files/Inter-Light57a3.woff	(from https://rsms.me/inter/inter.css)
15:36:48	111212/111212	---M--	200	added ('OK')	font/woff2	etag:%225f7e4253-1b26c%22	https://rsms.me/inter/font-files/Inter-LightItalic.woff2?v=3.15	C:/Users/Febri/Documents/bootstrap-pro/rsms.me/inter/font-files/Inter-LightItalic57a3.woff2	(from https://rsms.me/inter/inter.css)
15:36:48	148812/148812	---M--	200	added ('OK')	font/woff	etag:%225f7e4253-2454c%22	https://rsms.me/inter/font-files/Inter-LightItalic.woff?v=3.15	C:/Users/Febri/Documents/bootstrap-pro/rsms.me/inter/font-files/Inter-LightItalic57a3.woff	(from https://rsms.me/inter/inter.css)
15:36:49	133856/133856	---M--	200	added ('OK')	font/woff	etag:%225f7e4253-20ae0%22	https://rsms.me/inter/font-files/Inter-Regular.woff?v=3.15	C:/Users/Febri/Documents/bootstrap-pro/rsms.me/inter/font-files/Inter-Regular57a3.woff	(from https://rsms.me/inter/inter.css)
15:36:50	98804/98804	---M--	200	added ('OK')	font/woff2	etag:%225f7e4253-181f4%22	https://rsms.me/inter/font-files/Inter-Regular.woff2?v=3.15	C:/Users/Febri/Documents/bootstrap-pro/rsms.me/inter/font-files/Inter-Regular57a3.woff2	(from https://rsms.me/inter/inter.css)
15:36:51	143188/143188	---M--	200	added ('OK')	font/woff	etag:%225f7e4253-22f54%22	https://rsms.me/inter/font-files/Inter-Italic.woff?v=3.15	C:/Users/Febri/Documents/bootstrap-pro/rsms.me/inter/font-files/Inter-Italic57a3.woff	(from https://rsms.me/inter/inter.css)
15:36:51	105500/105500	---M--	200	added ('OK')	font/woff2	etag:%225f7e4253-19c1c%22	https://rsms.me/inter/font-files/Inter-Medium.woff2?v=3.15	C:/Users/Febri/Documents/bootstrap-pro/rsms.me/inter/font-files/Inter-Medium57a3.woff2	(from https://rsms.me/inter/inter.css)
15:36:52	111968/111968	---M--	200	added ('OK')	font/woff2	etag:%225f7e4253-1b560%22	https://rsms.me/inter/font-files/Inter-MediumItalic.woff2?v=3.15	C:/Users/Febri/Documents/bootstrap-pro/rsms.me/inter/font-files/Inter-MediumItalic57a3.woff2	(from https://rsms.me/inter/inter.css)
15:36:52	106604/106604	---M--	200	added ('OK')	font/woff2	etag:%225f7e4253-1a06c%22	https://rsms.me/inter/font-files/Inter-Italic.woff2?v=3.15	C:/Users/Febri/Documents/bootstrap-pro/rsms.me/inter/font-files/Inter-Italic57a3.woff2	(from https://rsms.me/inter/inter.css)
15:36:53	105992/105992	---M--	200	added ('OK')	font/woff2	etag:%225f7e4253-19e08%22	https://rsms.me/inter/font-files/Inter-SemiBold.woff2?v=3.15	C:/Users/Febri/Documents/bootstrap-pro/rsms.me/inter/font-files/Inter-SemiBold57a3.woff2	(from https://rsms.me/inter/inter.css)
15:36:55	142340/142340	---M--	200	added ('OK')	font/woff	etag:%225f7e4253-22c04%22	https://rsms.me/inter/font-files/Inter-Medium.woff?v=3.15	C:/Users/Febri/Documents/bootstrap-pro/rsms.me/inter/font-files/Inter-Medium57a3.woff	(from https://rsms.me/inter/inter.css)
15:36:55	111676/111676	---M--	200	added ('OK')	font/woff2	etag:%225f7e4253-1b43c%22	https://rsms.me/inter/font-files/Inter-SemiBoldItalic.woff2?v=3.15	C:/Users/Febri/Documents/bootstrap-pro/rsms.me/inter/font-files/Inter-SemiBoldItalic57a3.woff2	(from https://rsms.me/inter/inter.css)
